person_name,Time,Comments,Language
Chandresh Nirmalkar,2 weeks ago on,proud sanatan,en
Pawan Negi,a week ago on,jay shree ram ji,en
Roshan Uikey,5 months ago on,controversial issue reflection justice court holy temple destroyed mughal invader year ago saved many sacrifice struggle archaeological evidence even shown matter national pride religious ambition added unique dimension achievement civilizational excellence blow mughal imperialism hope sri krishna temple kashi vishwanath temple saved soon jai sriram may god grace upon,en
ayush dekate,4 weeks ago on,sibling making plan decoration,en
Prajwal Ingole,a month ago on,jay shri ram,en
Simran Muley,2 months ago on,jai shree ram ji,en
Parth Kale,5 months ago on,punya murti done kanndiga stone selected karnataka jai shree ram,en
Bhavna Behaniya,2 weeks ago on,jay shri ram,en
Aatur Nampalliwar,4 months ago on,jai shree ram,en
VIJAY BHORKHADE OFFICIAL,5 months ago on,many many congratulation,en
YouTube King,2 months ago on,fantastic,en
Arpit Kanojiya,6 months ago on,frequent visitor ram mandir since last year quite calm atmosphere place really rejuvenating serenity place facilitates conversation inner self develops sense spirituality white marble statue lord ram devi sita soothing ramanavami festival celebrated great pomp show,en
Ankush Gour,4 months ago on,located township exist entire peace people visiting must time able take part arti also,en
Aniket Patil,4 days ago on,ver well maintained garden neat clean temple quite place spending time evening rejuvinating,en
dushyant chauhan,5 months ago on,ram mandir popular temple beautiful well maintained garden everything good visited many time peace beautiful,en
Abhishek Mohite,4 months ago on,temple fully holy place verybeautiful place durgapurvery large number people came,en
Samiksha Shinde,2 months ago on,frequent visitor ram mandir since last year quite calm atmosphere place really rejuvenating serenity place facilitates conversation inner self develops sense spirituality white marble statue lord ram devi sita soothing ramanavami festival celebrated great pomp show,en
Sanket Dukare,a month ago on,located township exist entire peace people visiting must time able take part arti also,en
Raju Shaha,5 months ago on,ver well maintained garden neat clean temple quite place spending time evening rejuvinating,en
Prachi Sable,2 months ago on,ram mandir popular temple beautiful well maintained garden everything good visited many time peace beautiful,en
Sumit Shivhare,5 months ago on,temple fully holy place verybeautiful place durgapurvery large number people came,en
Manoj Karpenter,4 months ago on,small trip remember lot place beautiful near damoder river nature pleasant,en
Nimbaji Thakare,4 months ago on,many childhood memory stand nothing change garden tree everything remains ram mandir popular temple beautiful well maintained garden sandha arati panditji eeverything awesome durgapurians known temple outsider come visit ram mandir never disappointedthanks,en
Akshita Misala,5 months ago on,mandir awesome mandir fully holy place devoted area ideal god ram mind blowing,en
Trupti khode,5 months ago on,nice soothing spend evening serene place free chaos bell arati,en
Raman Sonkusare,a month ago on,one place look forward visit everyone travel durgapur travel least time month beautiful ram sita idol nice small garden front make ideal place spend peaceful time,en
Abhishek Satpaise,a month ago on,mostwhen visit ram mandir found deep meditation mind n natural pleasure soulmy favourite distinction feel alone must visit time arati average mentioned,en
ANSHUL DHOLE,a month ago on,nice temple,en
Gauri Anjankar,2 weeks ago on,calm place,en
Sunil Mhaske,7 months ago on,famous lord rama mandir,en
-KULDEEP SHARMA-,3 months ago on,nice gud looking temple prabhu shri ramat nice famous placeand also nice murat shri ramplace visit u r durga,en
Nimbaji Thakare,4 months ago on,good place relax go past like human oldage time ramayana,en
ANSHUL DHOLE,a month ago on,get chance go inside temple close time visit please note temple open pm,en
-KULDEEP SHARMA-,3 months ago on,ram mandir situated near muchi para situated bidhannagar old mandir full marble construction peacefull place many old sculpture best blace finding peace durgapur network love best place worship,en
Siddhartha K S,2 months ago on,peaceful serene atmosphere especially devotee worth spending good valuable time,en
Mohit Moon,a month ago on,really good place full peace always try go afternoon evening time chanting really fill refreshed,en
Niraj Jagadale,a day ago on,neat clean beautiful tranquil serene nice garden place worship big industrial town,en
Sandip valvi,a week ago on,one famous temple durgapur town durgapur yesterday morning due conferenceand came back today afternoonso went visit well know place around durgapur visit look around quite serene place hand around half hour,en
Shubhangi Chouhan,6 months ago on,situated near muchipara used visit often childhood till today remain almost calm peaceful well maintained,en
Jayant Dhapodkar,3 months ago on,famous religious shrine hindu busy town durgapur place eyepopping part built marble stone quite famous place lord rama devotee turn crowded evening,en
Suyash Gudadhe,2 months ago on,peace mind,en
Tanmay Ninawe,5 months ago on,marble delight,en
Harshal Shrote,4 months ago on,nice place peaceful,en
