person_name,Time,Comments,Language
@bankersway7246,8 days ago,,en
@uniqueshortvideo551,8 days ago,,en
@ayazf2010,8 days ago,injustice decision impose one day justice wil done almighty god allah,en
@ShivaniNuniwal,8 days ago,thanks telling beautiful history,en
@jd-de5bx,8 days ago,jai shree ram,en
@anmolraj1525,8 days ago,jay shree ram,en
@shaileshkumar-vb5lk,8 days ago,jai shree ram,en
@prashantmahato3635,8 days ago,,en
@anuragghanghoriya1875,8 days ago,,en
@mujeebkubraa2462,8 days ago (edited),ye siyasat aur nettao ka ek mohora hai jise raam mandir ka naam de diya,en
@AbhishekSinghRajput-gs2lh,8 days ago,jai shree ram,en
@vijayamadhavipeddireddy9360,8 days ago,,en
@Satyaprakash-fe4gk,8 days ago,acchi baat hai ham sabke liye lekin mandir ki sthapana ke liye jin logon ke ghr tod diye gaye unke ghar matam chhaya hua haiunke liye koi khushi ka mahaul nhi hai ye,en
@shubhamup359,8 days ago,kaise,en
@EngineerSahab.Ballia,8 days ago,,en
@adityade897,8 days ago,satyaprakashfegkkaha tore gaye,en
@I-M-F,7 days ago,jsr,en
@saurabhkumar7917,7 days ago,satyaprakashfegk jitni problem unko nhi hogi jitni aapko hai,en
@adarshdev546,6 days ago,satyaprakashfegk bhagawan ke liye itna toh krna paregaa,en
@RaviChandraYadav,8 days ago,beta justice done hogya hai,en
@Bharatiyabyheart,8 days ago,injustice done indian king actually let mughals enter precious india let wait justice,en
@-Indian645,8 days ago,,en
@sachin1825,8 days ago,mandir bhi ban raha h masjid bhi ban rha h waha problem kya h ab,en
@adityade897,8 days ago,masjid bhi ban raha hai prblm kya hai,en
@COTTON310,5 days ago,tum arab jayobharat nain oldest religion hindu hain toh hindu hi rehega,en
@banamalimandal5312,7 days ago,dardnaak story,en
@Tekapo4,6 days ago,banamalimandal beautiful history,en
@PrathamKumar-bo4pt,6 days ago,converted banamalimandal,en
@pravingupta1814,8 days ago,shree ram ka hi mandir hai ayodhya meuseum bhi ban raha hai saboot jale dekh lena,en
@crazyboy19934,8 days ago,agar koi tere ami ko rafe karega tu kiya use chhod de ga ye bol kar ki uski koi galti nehi kyunki mere mane khud ki raksha nehi kar pai,en
@_ambedkarwaadi,8 days ago,waise toh makka madina v ek business ka jariya haii,en
@Ayush00_947,8 days ago,ambedkarwaadi,en
@-Indian645,8 days ago,,en
@naveenkumar-zr5ot,9 days ago,jao shree ram ji,en
@harsh_shukla1555,9 days ago,jai shree sitaram,en
@ganeshkunwar255,9 days ago,jai shree ram,en
@mohdfurqan1332,9 days ago,koyi mandir nhi tha ram ka u jagah pe supreme court ka faisla dekhle pehle hindu majority ki aastha ko dhyan mn rakhkr court se zameen hindu side ko di h,en
@juniorsevengers3748,9 days ago,aur bahan masjid thi hai aur rahegi aaj tumne takat ke bal par bahan mandir tu bana liya hai kal ham bahan takat ke bal par masjid banayenge inshallah allah allah akbar allah akbar allah akbar allah akbar allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah akbar,en
@swinil1103,9 days ago,jai shree ram,en
@aloneboy_9,9 days ago,jay shree ram,en
@rameshzagarala227,9 days ago,jay shree ram,en
@dhritiverma509,9 days ago,,en
@knowledgecorner210,9 days ago,,en
@ganeshsing3231,9 days ago,jai shri ram,en
@shubhamehta4574,9 days ago,,en
@sidharthadutta7284,9 days ago,jai shree ram kya aayodhya ka history etna hi hai,en
@mihirchoudhary91,9 days ago,jay sia ram jan ko shree ram aa rahe hai hai,en
@mohitsingh-pf5fc,9 days ago,jay jay siya ram,en
@rajeshnethi31,10 days ago,,en
@afridisahid07,10 days ago,babri masjid ek murti prakat huya tha kiya usse pata chala ki ram janmobhumi hai koi bataye ga,en
@ashishpurwal1876,10 days ago,,en
@BROHD_HEXTON,10 days ago,jai shri ram,en
@Ajayyadav-fl7eq,10 days ago,jay shree ram,en
@-Indian645,8 days ago,,en
@rajdev7432,8 days ago,chup convert,en
@adityade897,8 days ago,ram mandir tha aur tum logo ko toh jaga mili na,en
@debayanpanigrahi6955,8 days ago,jo mandir todne ki kosish karegaa uskaa shar mandir ke aage example latkegaa jai sri ram,en
@Bharatiyabyheart,8 days ago,tab takat tum jeso ke pas thi isliye tod ke masjid bana diya ab humare pas phir se humne bana diya simple aur ab logo ko pata takat kiske hath dena tu tension na le beta apne allah pe chod de jo kar sakte hain khud kar lenge,en
@-Indian645,8 days ago,,en
@adityade897,8 days ago,bark,en
@pravingupta1814,8 days ago,bilkul nahi iska itihas hamare grantho se pata chalega ye budhdhijeevi agar inka research itna hi achcha tha fact ke base pe pahle hi rakhte ye history,en
@RaviChandraYadav,8 days ago,year old year pe research kar abhi,en
@-Indian645,8 days ago,,en
@akshayhunk143,7 days ago,prakat nahi hua tha jaa ke rakha tha ab bol kya kar lega,en
@Rambhaktdaksh,1 day ago,akshayhunk ram mandir ban giya aur tu bol raha hai kya kar lega jai siya ram,en
@Rambhaktdaksh,1 day ago,akshayhunkbabri masjid ka khel khatam bhai,en
@knowledgeexpand6720,10 days ago,always love study iq,en
@TusharKumar01-hp3yv,10 days ago,,en
@studyiqofficial,10 days ago,query please whatsapp httpsbitlywame upsc ia live g foundation pi new year batch httpsbitlysgysp batch starting th january daily live class hurry enroll httpsbitlysgysp upsc ia live g foundation pi hindi new year batch hurry enroll httpsbitlyrzbnvk upsc ia live g foundation pi english new year batch class starting th january daily live class pm hurry enroll httpsbitlyvleolu upsc ia live sip january batch batch starting nd january class timing pm hurry enroll httpsbitlywyre upsc ia prelim interview pi live advanced batch batch started th november daily live class pm hurry enroll httpsbitlynlh upsc ia main live optional batch httpsbitlydrhsmw psir sociology history geography pub ad anthropology mathematics hindi literature set general study book hurry enroll httpsbitlymft,en
@studyiqofficial,10 days ago,watch chapter history series click httpswwwyoutubecomplaylistlistplpuxpgtuormbckrzsmypzmbek,en
@Archanasaini8999.,6 days ago,plz complete ncert par bhi video banaye,en
@RahulGupta-ct7zq,6 days ago,pppo,en
@AmitKumar-cl5uc,4 days ago,jai shree ram,en
@Deepakkumar19dk,2 days ago,,en
@salonijaiswal3669,1 day ago,,en
@anjaliswain3781,1 day ago,,en
@Archanasaini8999.,6 days ago,plz article par bhi video banaye,en
@atuljaideo2807,29 minutes ago,president india,en
@enslavedmind,38 minutes ago,madame president nowhere seen,en
@kidxie,1 hour ago,jai shree ram,en
@AbhishekyadavYadav-ly1ho,1 hour ago,jai shree ram ji,en
@MissM-lz1uv,2 hours ago,demolished historical old mosque built temple destroyed group destroyed killed people get celebrate opening shameful really seeing connection hindutva zionist israel,en
@santuram5646,4 hours ago,ik din jai shri ram nhi jai shri modi kehe ge log,en
@karandeep6074,4 hours ago,bhagwaan ke ghar sab equal hote haii aur commen people celebrity bhagwaan ki nazar ek need create disparity common log tho kab se sewa lage huye hai agar celebrity sewa lage tho kangana sewa karti nazar aayi bhagwaan ki nazar celebrity ki sewa jyada important rakhti hai rather common people camera focusing celebrity need kind materiality house god,en
@VeeruSingh-zi7sy,4 hours ago,,en
@BHARAT906,5 hours ago,aab jakar sab celebrity daru peenga,en
@StonersPlaying,5 hours ago,time celebrity first,en
@bhagatpundir6609,6 hours ago,point inviting bollywood celebrity ram mandir ninstead invited panditsyogies social worker,en
@funandknowledge2280,6 hours ago,history indiajoy shree ram,en
@The_French_Station,7 hours ago,jai shree ram rnsuch proud moment sanatanis leadership matter lot modiji best thing could happen india leadership india going reach great height,en
@user-gs7ow2is3p,7 hours ago,hindi biliye,en
@raimasen1736,7 hours ago,sridevi ki trha hogyi hai kangana,en
@shantanukhetkade2504,8 hours ago,stop filming shiti actor came fame popularity,en
@leogaming9947,8 hours ago,vkto ki kanganaaj nsa nhi kia,en
@pawanbankoti7108,8 hours ago,,en
@Freethermic,8 hours ago,mandir banne par garv mehsus ho raha hain,en
@user-hx8cv5vy4d,8 hours ago,jai jai shree ram,en
@hanzula1913,6 hours ago,obviously,en
@YashCricketshorts657,2 hours ago,jay shree ram,en
@TotoBu_,8 hours ago,,en
@Freethermic,8 hours ago,totobu,en
@AshishYadav-gz3jq,9 hours ago,jai shree ram,en
@shashwatsingh2724,9 hours ago,invitation whore clown india,en
@ShreeRamsiyaram,9 hours ago,,en
@Alisha.doctor,9 hours ago,aaj toh hindi bol lete kam se kam,en
@jeetdas8957,9 hours ago,abey hindi bol ley ram ji sita hindi e bole te tume bhi hindi bol lo,en
@yourashu6978,9 hours ago (edited),khan bollywood,en
@Royals108,9 hours ago,jay shree ram royal jay shree ramberojgaro ko noukri dijiyetabhi ye puja safal hogi,en
@adarshpv4222,9 hours ago,utter madness,en
@shivnayak7081,9 hours ago,ek ram sab ke dil hainek ram vip,en
@k14camp427,9 hours ago,ab ye ayodhya ka mandir humesha humesha ke liye ayodhya kanpangu ram mandir napaahij ram mandir nhandicapped ram temple kahelaayega nmodi amit shah mohan bhagwat yogi bjp r vhp bajrang dal waalo ne apni satta ko barkarar rakhne ke liye desh ke saat saath i mandir ko bhi barbaad kar diya nab yahi log ram se bhi bade bhagwan ban gaye hai,en
@avkashmenon7281,9 hours ago,jai shree ram,en
@alomsk2397,10 hours ago,modi hamara vagyoyan ram nahi,en
@AkshayPatil-dp9lj,10 hours ago,,en
@user-kv6sv9js9k,10 hours ago,beef khane wale actor kha se agaye kch bht bade beef guy hai yaha,en
@abdulrehmanburjwale,10 hours ago,vote k liye logon ko bewkoof banaya jaa rha hai bass,en
@nehakhatri3921,10 hours ago,indian hone pe proud hindi bolne nhi,en
@maddyd83,10 hours ago (edited),dont know called garbage bollywood celebrity invited ram mandir many part movie anti hindu dont speak word support hinduismonly fully support hinduism,en
@soniab3731,10 hours ago,dirty ness overload priest putting garland kangana shame,en
@soniab3731,10 hours ago (edited),ram ji vi fan hai inke kya,en
@allu103,10 hours ago,,en
@vishakhachauhan3649,9 hours ago,invited,en
@nikhilmusic1465,9 hours ago,tujh jaison dogle log yahi bolenge bhadwe,en
@prosenjeetdey3702,7 hours ago,lol getting burnol moment,en
@udayxyz.123,34 minutes ago,abdul burnol lagale,en
@AYAN_23,10 hours ago,lagendry singer anuradha paudwal ji,en
@AYAN_23,10 hours ago,time favorite anuradha paudwal ji,en
@prachi_arts1312,11 hours ago,cricketer singer politician indian army deserves invited pathetic nepowood dont even dare speak hindi half r non religious,en
@68ramprasad,11 hours ago,heartiest welcome celebrity atleast courage give secular image kudos modiji,en
@arunshukla2424,11 hours ago,jai shri ram jai rameswar dham ki,en
@test-wc9hr,11 hours ago (edited),celebrity invitedmodi show publicity one worst pm common man allowedis show celebrity god sure modi showing difference god every one equal temple built show celebrity,en
@arbaazahmed5881,11 hours ago,kangana andh bhakt,en
@kartoos9402,12 hours ago,raam ki maa rundi,en
@vaishnavivaish2554,12 hours ago,hell bollywood called celebrity year ayodhya controversy common people given preference especially slayed karsevaks,en
@khushihalankar3831,12 hours ago,celebrity ka news aise de rahe hai jaise ki yeh log bhagwan haihum aam insaan bhi kitne khush hai yeh news bata detecelebrities ko invitation diya aur hum aam insaan ka kyaaise react kar rahe hai jaise celebrity mahan hainews celebrity ka de rahe haicelebrities ko jyada bhav doge toh yeh sar par chad jayenge,en
@sanjaykumar-zy9sn,12 hours ago,,en
@sanjaykumar-zy9sn,12 hours ago,,en
@kpopped298,12 hours ago,,en
@sonalsinghkalhans9197,13 hours ago,ye log ko bula ke dimaag kharab kr diya mera,en
@ShahNawaz-si1mw,13 hours ago,u feed poor people india day ram happy,en
@user-gf9wq5fj8z,14 hours ago,people never talked shree ram mandirand giving invitation inaugration ceremony disgustingarrey isse badhiya toh normal ayodhya ke logo ko invite kr dete kitna achha hota,en
@PV-wu1vb,14 hours ago,bollywood got rammandirwhat importance front sree ramthey people indulging immoral practicespeople dress live culture bharat becoming like ambanis bollywood studded house party rather religious eventisbjp running grant show dangerousjai sree ram,en
@9999822143,18 hours ago,temple built base treachery,en
@syedmohd178,21 hours ago,ta qayamat tak masjid hi manta hai muslim community,en
@gregaryvanjare7902,21 hours ago,look like gay im talking host,en
@Thanal2000.,9 hours ago,voice,en
@SeemaSeema-rb3xb,9 hours ago,sare nashedi beef eater present bhakt welcome irony,en
@SeemaSeema-rb3xb,9 hours ago,remove secularism preamble book also,en
@heritagewalk90,9 hours ago,least bhagwan ko apni negative soch se dur rkho enjoy kero na ki jahar uglo,en
@yourashu6978,9 hours ago,khan bollywood,en
@Vistara1523,9 hours ago,yourashuthey invited,en
@Vistara1523,9 hours ago,whats problem secular live secular country u want india like islamic state pakistan,en
@68ramprasad,11 hours ago,dont get tensed happy atleast courage show modi,en
@Trolley-vt8qh,10 hours ago,slain people cant visit,en
@heritagewalk90,9 hours ago,bhagwan toh called bade logo ke liye hi toh aam janta toh bus ghnatiya bajane ke liye h naachne ke liye inke isharo pe bhagwan ko bhi ni chora inhone toh shame politics,en
@vaishnavivaish2554,9 hours ago,heritagewalk ikr,en
@Mr.Diesel69,13 hours ago,pehle se h,en
@sonalsinghkalhans9197,12 hours ago,mrdiesel haa yrrr ye bollywoodiya kabhi hm hindiuo ke liye awaj nahi uthate fir inko kyu bulaya,en
@maheeinvest,12 hours ago,jihadi tera baap ka zameen ya paisa hey kya saale rona bandh karo bikhari hindu temple met free khaana miltha hey usme zyada musalman hee rehthe hey khaao hamaara phir gaddari karo yehi tumlogon ka aukat hey,en
@jyotinanoma6227,12 hours ago,one dying india hunger,en
@santaliboyarabinda9500,12 hours ago,jyotinanoma number india hunger index idea,en
@maheeinvest,11 hours ago,santaliboyarabinda pakistan happy index india check pakistan stature dont show fake rank,en
@santaliboyarabinda9500,11 hours ago,maheeinvest dont say like illiterate person ok ram mandir solution ok pls point point ram mandir help poor,en
@jyotinanoma6227,11 hours ago,santaliboyarabinda hunger happiness index pakistan chaina shri lanka still ag kg cant understand kind propaganda machine,en
@mlg1279,11 hours ago,santaliboyarabindaif u dont like rama temple dont visit place u right tell people say,en
@santaliboyarabinda9500,11 hours ago,jyotinanoma ok understand point point ram mandir help poor,en
@santaliboyarabinda9500,11 hours ago,mlg decision ok go indian constitution give right visited everywhere country first point key point help others survive life help poor answer question,en
@Arigato99,10 hours ago,santaliboyarabindatu pehle apne real id se aa mohammad humesha humare mandir mein tujhe index aajate h kya ek kaam kr aj se tu khana band krke kiss gareeb ko de de kam se kam tere paap dhul jaenge,en
@santaliboyarabinda9500,10 hours ago,arigato anpadh andhbhakt pehle kitab padh aur jat pat ki chodh aur apne andar humanity la aur pehle tu point bata ki ram mandir ban jane se kiska vala hoga,en
@jyotinanoma6227,10 hours ago,santaliboyarabinda ok abdul since ag kg std know understand king bharatwarsh say tell dwarka somnath million temple destroyed looted errorist cult economic link tell making temple donation billion people economy bharatwarsh destroyed people become poor temple identity hindu civilization genocide billion hindu loot trillion money fight witherrorism year temple signifies suffering win abrahmic cult proud tortured genocide r ap ed converted enslaved never defeated hindu civilization proud one thing kashi mathura jhanki hai mandir baki hai jai shree ram,en
@Butters-wr8pj,10 hours ago,temple feed people daily want food go ayodhya serving right,en
@Butters-wr8pj,10 hours ago,santaliboyarabindasri lanka better food index asked food supply india,en
@Arigato99,10 hours ago,santaliboyarabinda mera bhala hoga sab ka bhala hoga puri bharat ka bhala hoga sirf tera nhi hogapta h kyun kyun ki nirlaj logo kissi se khus nhi hote tu wohi insan h jo free ka khana khayega phir bolega aree bahot gareebi h chala ja na phir iraq iran wanha pe jake apne humanity dikha,en
@Arigato99,10 hours ago,butterswrpj usse kuch mat bolo wo converted muslim h apne madrasachap mein jo padhega wohi kahega na,en
@santaliboyarabinda9500,10 hours ago (edited),butterswrpj tabto koi v kam hi nhi karega sab mandir hi khane ko chale aur bat ko aaploge samajhte hi nhi yar govt ki chal hi hai koi v sikhshit na bane sab unke age khane ki bhikh mange yeh loge kisiko atmanirbhar hone nhi denge aur mandir sabko khana diya jata hai manta hu lekin crore insan ko agar mandir har roze khana pare desh patal ghush jayagi bhai ye koi solution nhi hai aaploge jo ye dharm ke nam pe dhindora pit rahe ho na aapke antar aatma se ekbar puchke dekh lena ki ek desh kavivi mandir masjid banake superpower nhi ban sakhta agar aisa hota hinduo ke crore deb devi hai sirf ram ke liye hi kyun baki dev devi ne kya galti kardi unke liye v banaya jaye tabto koi v bhukha nhi rahega crore mandir hoga crore desh bashi ko dhang se khana serve kiya ja sakhta hai chutia mat bano bhai samjho nhi maro,en
@Butters-wr8pj,10 hours ago (edited),arigato dub fks think temple like mosque discriminates kafir woman etc throwing stone etcnnall hindu temple serve food everyone regardless age religion race gender etc friend karyakarta ayodhya food temple week least,en
@santaliboyarabinda9500,10 hours ago,arigato abe tu behaviour se hi lagta hai andhbhakt hai aur aj samajh gaya kyun hamare desh anpadh chala rahe hai aur desh kaun rahega nhi rahega kya tum thik karoge,en
@santaliboyarabinda9500,10 hours ago,arigato lekin aap janam se hi coverted andhbhakt ho jiska kuch v ilaz nhi hai,en
@Arigato99,9 hours ago,santaliboyarabinda jaa madrasa chap ja andhanamaz terrorist se andhbhakt acha h hu mein andhbhakt apne ram ji ke liye,en
@mlg1279,8 hours ago,santaliboyarabinda ram mandir se hazaaron logon ko rozgaari mili aur aage bhi milegi pilgrimage tourism se lakhon logon k liye livelihood bhi milega aur ayodhya jo ek developed region tha ab vah prosperous banega nisnt good thing nso dont killjoy share positivity,en
@santaliboyarabinda9500,7 hours ago,mlg thinking bogus,en
@mlg1279,6 hours ago,santaliboyarabinda seems like u ur self bogus,en
@SANJEEVSHARMA-vh8ps,6 hours ago,common civil code must ab moot mat dena,en
@santaliboyarabinda9500,6 hours ago,sanjeevsharmavhps common civil code hoga koi nhi mootega tum general wale hi moot doge,en
@SANJEEVSHARMA-vh8ps,5 hours ago,samajh gayaa ab tum bache paida nahin karoge pakka toh bhai naukri ki koi kami nahin hogi modi ji aap jaison ko hi toh paal rahe hainsantaliboyarabinda,en
@akshat_khare,12 hours ago,thought karsevaks slain mulayam common people fought mandir given first row every function consecration ceremony,en
@PenNink001,8 hours ago,india browhat expecthere status caste matter,en
@Did_you_say_chimken,14 hours ago,okay,en
@anuragdey1122,14 hours ago,bhar main jao,en
@PP-gl9ff,14 hours ago,muslin aur converted fark hai pata hai ki nahi arab muslim country nahi mante tum muslim ho tum hindu ab ba converted kathmulle ho kutta agar dusro ki chaate toh koi respect nahi use apne ghar hi izzat milti hai,en
@ajaymaurya85,13 hours ago,abey chaman chu pehle waha mandir tha babar ne uske upar masjid banaya,en
@Mr.Diesel69,12 hours ago,fir bhi mandir whi banaya h,en
@maheeinvest,12 hours ago,qayamat aayega islam tana hojaayega uska shuruwaat tumhara saudi se shuru hoga dekthe raho,en
@mlg1279,11 hours ago,tum apne kaalpanik masjid khush raho aur hum vaastavik mandir ka darshan karenge,en
@nitishdeo7766,22 hours ago,jai shree ram,en
@priyaSingh-uk5iy,23 hours ago,third lady k nm kya h,en
@bijuthomas9769,1 day ago,desh poochh raha hai rashtrapati ji ko kyon nahin aur charon shankaracharya kyon nahin aaye tumhare jaise patrakaaron per desh thuktata hai,en
@prateekvihaan9123,21 hours ago,shefali shah,en
@parameahwarbt4920,1 day ago,sir worried dont worry come sooner later time jarring note question devotion come sir acharyas supported temple construction anybodys problem,en
@kalptarumishra7528,23 hours ago,arre wo aye ya nahin tu kabhi nahin jitega dobara rice bag toh tu rice kha aur param prasad lekar soja tera koi kaam nahin yahan,en
@shaa6403,23 hours ago (edited),church going mallu fellow convert generation ago dont worry attend work none business,en
@Assamese.Kshatria.Kalita,23 hours ago,fool president invitedntomorrow live dekh lena,en
@amangupta2905,23 hours ago (edited),tereko usse kya vaise bhi tu converted hai apne religion ki soch hamare mat bol,en
@Assamese.Kshatria.Kalita,22 hours ago,biju explain written timothy chapter verse,en
@Alex_18_03,22 hours ago,point none business mind one meant,en
@examinationidea424,22 hours ago,,en
@swapnilsingh5120,22 hours ago,bjp mandir nahi banwata toh shankaracharya ke jaane ka question hi nahi aatannbe grateful bjp,en
@examinationidea424,22 hours ago,,en
@prateekvihaan9123,21 hours ago,jai shree ram,en
@maheeinvest,12 hours ago,rice bag converted brigade worried temple,en
@Butters-wr8pj,10 hours ago,even finance minister selectively asked president subtly create caste politics make people fightnnthere many people didnt attend course,en
@SeemaSeema-rb3xb,9 hours ago,mai dil se chahti hu ki kat ki handi ek baar chadhe taki taki itihaas ye dekhaye ki kitne emotional fool hai hmari country k log abhi crore kg anaz le rhe h agle election tak ko chod kr sab lenge,en
@user-uc9go2kd4q,22 hours ago,,en
@user-kw8mn7xp5p,9 hours ago,jia ho shree ram ki,en
@Ayush_kalwar,22 hours ago,amazing,en
@user-tl3yb2tb9n,21 hours ago,beautiful rangoli didi jay shree ram,en
@bishnoi-id9nu,21 hours ago,jai siyaram,en
@kuntalkalmenge094,4 hours ago,rangoli beautiful,en
@Artandcraft-py6cc,21 hours ago,jai siyaram,en
@dr.khushikgmu6386,23 hours ago,jai shree ram ji jai shree ram seeta ji jai shree hanuman,en
@kiranjitsheron2330,10 hours ago,requires much hardwork soo well,en
@ProRiderArpit,23 hours ago,jai jai shree ram,en
@RajuSharma-um4ri,11 hours ago,beautiful jai shree ram,en
@user-ri2en1bw4x,22 hours ago,jai jai shree ram,en
@RajendraMohature-vz2zy,23 hours ago,beautiful ram temple,en
@arpitapaul2266,4 hours ago,jai shree ram jay siyaram jai hanuman,en
@AKASHKUMAR-uq8wn,6 hours ago,jay shri ram,en
@divya_jangid,6 hours ago,jay shree ram,en
@RajSherpuria,6 hours ago,jai shree ram ji,en
@bhoodevsingh330,10 hours ago,jai shree ram har har mahadev,en
@diyasharma1120,17 hours ago,jai ho sita ram ji,en
@giftbox01875,19 hours ago (edited),shree ram ka nam zammeen pr nhi aakash chapo tb dekhe,en
@Babajishorts45,19 hours ago,beautiful,en
@reenagoel2600,20 hours ago,,en
@ARATIACHARYA-kz5rv,21 hours ago,beautiful jai sri ram,en
@user-jj9oe1kt9e,21 hours ago,mere ram ayenge,en
@aruppramanick909,23 hours ago,beautiful,en
@reshmapadhan5569,23 hours ago,jai shree ram,en
@snehkatiyar8645,23 hours ago,nice jai shri,en
@varshanain3316,23 hours ago,jai siya ram,en
@Princebhai12880,1 hour ago,jay shree ram ji ki jay ho jay ho hanuman ji ki jay ho,en
@PawanKumar-xm2tg,2 hours ago,jai shree ram,en
@user-td7vi4ih8h,3 hours ago,,en
@user-hx4xf8ei1m,4 hours ago,beautiful jai shree ram,en
@nabanitachakrabortybagh-cn7wt,6 hours ago,wow didi kitna sundar kiya ap jay shree ram,en
@shubhuniquehandicraft,6 hours ago,jai shree ram beautiful,en
@aartiajay2491,6 hours ago,bhot beatiful hai jai shree ram,en
@nikhilkumarnikhil1814,8 hours ago,nice,en
@user-tm7uh4ld8l,9 hours ago,beautiful jai shree ram,en
@user-de2ed8mz9u,11 hours ago,,en
@AnshithaSingh-uz1cu,12 hours ago,jai shree ram,en
@vijaymore268,18 hours ago,rangoli beautiful,en
@PriyaSharma-bz3jr,18 hours ago,bahut hi sundar ati sundar jai shree ram,en
@yamisukehiro993,18 hours ago,mei ram ji ki intezaar mei time ho rhe hai abhi aur ram gatha sunn rahi hu,en
@user-bw8qn9rc6m,19 hours ago,beautiful rangoli,en
@kanchanar1929,19 hours ago,beautiful devotionalu much patiency stay blessed,en
@bhupentantibhupen5989,19 hours ago,beautiful rangoli,en
@botbro9222,20 hours ago,kya baat hai beautiful ragoli ram bhagwan jarur aayenge,en
@adnanabdulkader5426,20 hours ago,patience level adorable,en
@user-ix9cu6jm1b,20 hours ago,beautiful rangoli,en
@LAKSHYA_011,23 hours ago,,en
@quantumphysicsphysics1316,23 hours ago,jay shree ram,en
@anushreenag8371,23 hours ago,jai shree ram jai mata sita maa ki jai ho jai hunu dada r joi hok jai tetri koti dev devir joi hok jai laxman dada r joi hok,en
@Shubhendu108,15 minutes ago,jai shri ram,en
@nmdrawings3455,48 minutes ago,bahut acchi banate ho please ram ka naam farsh per yah jameen per na likho,en
@RightShort-ky1mk,49 minutes ago,jay shreeram,en
@manishbidlafact,1 hour ago,jai shree ram,en
@tanudidikiduniya,1 hour ago,,en
@shyambaba1278,1 hour ago,jai shree ram,en
@shreya10thgrader,2 hours ago,jay shri ram,en
@naibedyatandi2655,2 hours ago,jay shree ram,en
@AnilSir-zj4ve,2 hours ago,jayshreeram,en
@user-kh4nh6tp8s,3 hours ago,rangoli beautiful didi,en
@chandangupta6865,3 hours ago,jai shri ram,en
@omictorio6742,3 hours ago,jai shree ram,en
@Kiranprajapati30,3 hours ago,,en
@KaranKumar-wg3bc,3 hours ago,jay shree ram,en
@srabonidas5030,3 hours ago,beautiful,en
@ananyasoni9631,3 hours ago,jay shree ram,en
@user-os2ol6kg4u,4 hours ago,,en
@bhaigaming2167,4 hours ago,jai shree ram bhai log,en
@sonaliparamanik4248,4 hours ago,jai shree ram,en
@AmanKarmakar-cn5vb,4 hours ago,mere ram,en
@Status..master,4 hours ago,jai shree ram,en
@shubhamkeshav3783,4 hours ago,jai jai shree ramm siya jai hanuman,en
@shubhamkeshav3783,4 hours ago,kay shree ramm siya jai hanuman,en
@user-sz8db9zr4l,4 hours ago,comlete wastage resource,en
@SurendraKumar-et1qj,4 hours ago,jai shree ram ji,en
@user-eg3oc1xm8b,4 hours ago (edited),amezing didi,en
@sagardhoriya,5 hours ago,,en
@rajugodiyal1440,5 hours ago,jai shree ram,en
@sunitayadav7384,5 hours ago,jay shree ram,en
@sunitayadav7384,5 hours ago,,en
@shreyasingh1683,6 hours ago,agyee,en
@BimalBagdi-zt8mx,6 hours ago,,en
@nirmlasingh8130,6 hours ago,jai shree ram,en
@MrMineplayerOfficial,6 hours ago,,en
@funny.cartoon.hindi.,7 hours ago,ram aaenge nahin hai ram gaye,en
@manishayadav6093,7 hours ago,jai shree ram,en
@BharatbhaikhumanBharatbh-iw9mq,7 hours ago,,en
@BidyapatiNath-oe1gd,7 hours ago,wow beautiful jay shri ram,en
@yashmahour9618,7 hours ago,jai shree ram,en
@user-tg8cs2hq7z,7 hours ago,,en
@jyotimoniborah2871,7 hours ago,jai shree ram,en
@That_girlanushree,7 hours ago,word,en
@bm.villagefarmer3068,7 hours ago,,en
@archanasuresh3797,7 hours ago,badhiya kalakar ho aap,en
@abhishekhaldar850,7 hours ago,jai shree ram,en
@user-sc4ky8nz5g,7 hours ago,jay shree ram,en
@cutesanvi4110,8 hours ago,wow beautiful jai shree ram,en
@SumanLata-lj7iw,8 hours ago,jay shri ram,en
@shrishastri6634,8 hours ago,jai shree ram,en
@ArpitaMondal-nq3qg,8 hours ago,jai shree ram,en
@sapnasoneja2364,8 hours ago,,en
@afgggh2932,9 hours ago,,en
@payalsardana7395,9 hours ago,beautiful,en
@sangitasingh7071,9 hours ago,jai shri ram,en
@sanjebbhoi7504,9 hours ago,jay sree ram,en
@mukeshlodhi4556,9 hours ago,jay mataji ki jay shree sitaram ji,en
@aarudhankar4086,9 hours ago,jai shree ram,en
@mantusingh8660,9 hours ago,,en
@Desi_Comedy_king_boy,9 hours ago,,en
@parteekbhai7056,10 hours ago,bar jai shree ram,en
@user-il7dl6ze7o,10 hours ago,jai shree ram ji jai shree krishna jai sri hanuman,en
@user-gh5mf1zb2t,10 hours ago,jay shri ram,en
@funnyjoin1800,10 hours ago,jay shree ram,en
@RatiPalmotivationalvideo123,11 hours ago,httpswwwyoutubecomratipalmotivationalvideo,en
@pawanswarnkar1682,11 hours ago,beautiful rangoli didi,en
@ManishaDurgesh,12 hours ago,,en
@gamingwithsamir6713,12 hours ago,jai shree ram,en
@karna5218,13 hours ago,jay shree ram,en
@user-bk3ez7ep1g,15 hours ago,jai shree ram,en
@the_queen3471,15 hours ago,jai shree ram ji ki,en
@nepalnepal1786,18 hours ago,jaysrirama,en
@sarojvidyavlogs6585,18 hours ago,wow beautiful jay shree ram,en
